variant,M,rc,acc,params,returncode
v6,2,True,83.01,2204130,0
v6,3,False,67.79,2532226,0
v6,3,True,83.48,2532850,0
v6,4,False,69.08,2860738,0
v6,4,True,84.44,2861570,0
