dataset,M,seed,best_acc
SVHN,1,2024,73.39812538414259
SVHN,1,2025,73.28288260602335
SVHN,1,2026,73.2559926244622
SVHN,1,2027,73.03318992009834
SVHN,1,2028,73.40580823601721
